<<<<<<< HEAD
,CustomerID,Tenure Months,Churn Value,CLTV,Average Monthly Charges,City_churn_rate,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_Yes,Internet Service_DSL,Internet Service_Fiber optic,Online Security_Yes,Online Backup_Yes,Device Protection_Yes,Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Contract_Month-to-month,Contract_One year,Paperless Billing_Yes,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,#ofServices
0,3668-QPYBK,2,1,3239,54.075,29.508196721311474,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,2
1,9237-HQITU,2,1,2701,75.825,29.508196721311474,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2
2,9305-CDSKC,8,1,5372,102.5625,29.508196721311474,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,5
3,7892-POOKP,28,1,5003,108.7875,29.508196721311474,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,5
4,0280-XJGEX,49,1,5340,102.78163265306122,29.508196721311474,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,5
5,4190-MFLUW,10,1,5925,52.835,29.508196721311474,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,2
6,8779-QRDMV,1,1,5433,39.65,29.508196721311474,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,2
7,1066-JKSGK,1,1,4832,20.15,29.508196721311474,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8,6467-CHFZW,47,1,5789,101.04574468085106,29.508196721311474,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,5
9,8665-UTDHZ,1,1,2915,30.2,29.508196721311474,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
10,8773-HHUOZ,17,1,3022,64.3,29.508196721311474,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,4
11,6047-YHPVI,5,1,2454,63.38,29.508196721311474,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2
12,5380-WJKOV,34,1,2941,104.38970588235294,29.508196721311474,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,5
13,8168-UQWWF,11,1,5674,100.4909090909091,29.508196721311474,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,5
14,7760-OYPDY,2,1,5586,72.075,29.508196721311474,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,3
15,9420-LOJKX,15,1,2966,95.09333333333332,29.508196721311474,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,4
16,7495-OOKFY,8,1,5302,79.1625,29.508196721311474,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,3
17,1658-BYGOY,18,1,3179,97.36388888888888,29.508196721311474,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,5
18,5698-BQJOH,9,1,5571,95.25,6.666666666666667,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,5
19,5919-TMRGD,1,1,2483,79.35,60.0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,3
20,9191-MYQKX,7,1,3457,70.98571428571428,40.0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,2
21,8637-XJIVR,12,1,5806,77.27916666666667,60.0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,3
22,0278-YXOOG,5,1,2604,22.77,20.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
23,4598-XLKNJ,25,1,5337,100.58,20.0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,4
