City,sum,count,churn_rate
Acampo,3,4,75.0
Acton,0,4,0.0
Adelanto,1,5,20.0
Adin,2,4,50.0
Agoura Hills,2,5,40.0
Aguanga,1,4,25.0
Ahwahnee,1,4,25.0
Alameda,0,8,0.0
Alamo,0,4,0.0
Albany,2,4,50.0
Albion,0,4,0.0
Alderpoint,1,4,25.0
Alhambra,4,10,40.0
Aliso Viejo,0,4,0.0
Alleghany,0,4,0.0
Alpaugh,3,4,75.0
Alpine,3,5,60.0
Alta,0,4,0.0
Altadena,1,5,20.0
Alturas,1,4,25.0
Alviso,1,4,25.0
Amador City,3,4,75.0
Amboy,1,5,20.0
Anaheim,7,28,25.0
Anderson,2,4,50.0
Angels Camp,2,4,50.0
Angelus Oaks,2,5,40.0
Angwin,1,4,25.0
Annapolis,1,4,25.0
Antelope,2,4,50.0
Antioch,2,4,50.0
Anza,2,4,50.0
Apple Valley,6,10,60.0
Applegate,1,4,25.0
Aptos,1,4,25.0
Arbuckle,1,4,25.0
Arcadia,1,10,10.0
Arcata,0,4,0.0
Armona,2,4,50.0
Arnold,1,4,25.0
Aromas,1,4,25.0
Arroyo Grande,0,4,0.0
Artesia,0,5,0.0
Arvin,0,4,0.0
Atascadero,0,4,0.0
Atherton,2,4,50.0
Atwater,2,4,50.0
Auberry,0,4,0.0
Auburn,2,8,25.0
Avalon,2,5,40.0
Avenal,3,4,75.0
Avery,1,4,25.0
Avila Beach,0,4,0.0
Azusa,1,5,20.0
Badger,1,4,25.0
Baker,1,4,25.0
Bakersfield,3,40,7.5
Baldwin Park,0,5,0.0
Ballico,1,4,25.0
Bangor,2,4,50.0
Banning,1,5,20.0
Barstow,1,4,25.0
Bass Lake,1,4,25.0
Bayside,2,4,50.0
Beale Afb,1,4,25.0
Beaumont,1,5,20.0
Bell,0,5,0.0
Bella Vista,1,4,25.0
Bellflower,2,5,40.0
Belmont,1,4,25.0
Belvedere Tiburon,0,4,0.0
Ben Lomond,1,4,25.0
Benicia,0,4,0.0
Benton,1,4,25.0
Berkeley,9,32,28.125
Berry Creek,0,4,0.0
Bethel Island,0,4,0.0
Beverly Hills,1,15,6.666666666666667
Bieber,1,4,25.0
Big Bar,0,4,0.0
Big Bear City,2,4,50.0
Big Bear Lake,0,4,0.0
Big Bend,2,4,50.0
Big Creek,1,4,25.0
Big Oak Flat,2,4,50.0
Big Pine,1,4,25.0
Big Sur,1,4,25.0
Biggs,0,4,0.0
Biola,3,4,75.0
Birds Landing,1,4,25.0
Bishop,0,4,0.0
Blairsden Graeagle,1,4,25.0
Blocksburg,0,4,0.0
Bloomington,2,4,50.0
Blue Lake,2,4,50.0
Blythe,1,5,20.0
Bodega,0,4,0.0
Bodega Bay,1,4,25.0
Bodfish,3,4,75.0
Bolinas,1,4,25.0
Bonita,2,5,40.0
Bonsall,2,5,40.0
Boonville,0,4,0.0
Boron,1,4,25.0
Borrego Springs,2,5,40.0
Boulder Creek,4,4,100.0
Boulevard,2,5,40.0
Bradley,2,4,50.0
Branscomb,2,4,50.0
Brawley,1,5,20.0
Brea,4,8,50.0
Brentwood,0,4,0.0
Bridgeport,0,4,0.0
Bridgeville,3,4,75.0
Brisbane,1,4,25.0
Brookdale,0,4,0.0
Brooks,1,4,25.0
Browns Valley,1,4,25.0
Brownsville,1,4,25.0
Buellton,2,4,50.0
Buena Park,4,10,40.0
Burbank,6,25,24.0
Burlingame,2,4,50.0
Burney,2,4,50.0
Burnt Ranch,1,4,25.0
Burson,0,4,0.0
Butte City,1,4,25.0
Buttonwillow,2,4,50.0
Byron,3,4,75.0
Cabazon,1,5,20.0
Calabasas,0,5,0.0
Calexico,1,5,20.0
Caliente,1,4,25.0
California City,0,4,0.0
California Hot Springs,1,4,25.0
Calimesa,1,4,25.0
Calipatria,1,5,20.0
Calistoga,1,4,25.0
Callahan,1,4,25.0
Calpine,0,4,0.0
Camarillo,4,8,50.0
Cambria,0,4,0.0
Camino,1,4,25.0
Camp Nelson,2,4,50.0
Campbell,1,4,25.0
Campo,3,5,60.0
Campo Seco,1,4,25.0
Camptonville,1,4,25.0
Canby,1,4,25.0
Canoga Park,3,10,30.0
Cantua Creek,1,4,25.0
Canyon Country,2,5,40.0
Canyon Dam,2,4,50.0
Capay,0,4,0.0
Capistrano Beach,1,4,25.0
Capitola,1,4,25.0
Cardiff By The Sea,1,5,20.0
Carlotta,0,4,0.0
Carlsbad,4,10,40.0
Carmel,1,4,25.0
Carmel By The Sea,1,4,25.0
Carmel Valley,1,4,25.0
Carmichael,2,4,50.0
Carnelian Bay,2,4,50.0
Carpinteria,1,4,25.0
Carson,2,10,20.0
Caruthers,0,4,0.0
Casmalia,1,4,25.0
Caspar,2,4,50.0
Cassel,1,4,25.0
Castaic,2,5,40.0
Castella,2,4,50.0
Castro Valley,1,8,12.5
Castroville,0,4,0.0
Cathedral City,0,5,0.0
Catheys Valley,1,4,25.0
Cayucos,0,4,0.0
Cazadero,0,4,0.0
Cedar Glen,1,4,25.0
Cedarville,0,4,0.0
Ceres,0,4,0.0
Cerritos,1,5,20.0
Challenge,2,4,50.0
Chatsworth,1,5,20.0
Chester,0,4,0.0
Chico,3,12,25.0
Chilcoot,0,4,0.0
